mint,authority,symbol,program
ATq9a6aDmoAqqhVfGqiu4KAfCpvzvCF7tNgX4m8gH4g,9ZhudHhUjDdsRyYVcogkmY8EVV4tEo9y1fjfmoGp9KCP,FC*K WL,spl-token
CsxCtA8usvWKdRhe7KhLU5GgwzYaLkoHsz1MKBVZ4W3M,BCD75RNBHrJJpW4dXVagL5mPjzRLnVZq4YirJdjEYMV7,WINR,spl-token
5MAYDfq5yxtudAhtfyuMBuHZjgAbaS9tbEyEQYAhDS5y,4vBB5HyZPUasfC4b7oTmJarE6rxLYNm6E6g9zPnAgKPC,ACS,spl-token
SWANaZUGxF82KyVsbxeeNsMaVECtimze5VyCdywkvkH,STCaPKNQxmBLdh8AgvbRkY2vXB975vZ6jokZ17fF5v4,SWAN,spl-token
6dKCoWjpj5MFU5gWDEFdpUUeBasBLK3wLEwhUzQPAa1e,AhHuYjRSB68kLzUi2wStLWR6gwZ8DXjJ9wFtt9WCsWGD,CHEX,spl-token
2wmKXX1xsxLfrvjEPrt2UHiqj8Gbzwxvffr9qmNjsw8g,88WManvLqvVFoid1sMjF3LQcT7D3o33SJ2RseEWpoKcw,,spl-token
KQijDbNJ6rPCqhtXrfH6gKa5cH3a39At8vHq34nnPbF,BCD75RNBHrJJpW4dXVagL5mPjzRLnVZq4YirJdjEYMV7,DOGE,spl-token
SNSNkV9zfG5ZKWQs6x4hxvBRV6s8SqMfSGCtECDvdMd,31Hp1t4tJbiEhssaZuhn7Kins4stxKTA6F1jzD2MCff7,SNS,spl-token
BZZu7vzaMP32uNJm66kHmiX7Y1dWAEmZhjAi2bFER3be,7g2B6L5i8W79VEFLwQKMcAbYj16YXd7asyt65MYBNBbf,$SAM,spl-token
GcnaLPebAJTFqwexAKguztSd2YCE9YFgb4oioL7rjbbu,BCD75RNBHrJJpW4dXVagL5mPjzRLnVZq4YirJdjEYMV7,PLANET,spl-token
H5imUBBArRQhKxvBLJhb73ghXscbEgGpriRxCxyHrise,B9U1rFCzeicK5kx1aWW8g5TyKYZYjXLeute2u3aEDKag,ANT,spl-token
Fp4gjLpTsPqBN6xDGpDHwtnuEofjyiZKxxZxzvJnjxV6,F5Rs65D8pJQnZyhgTuP3SKZFgQ12NWsq2xL4itiaaTeu,NAXAR,spl-token
4PQY3SgtuZ9cKrVUosG9xqyAHmSRNoMgfDo1hfzeP7aS,EVWpjBXrNac3EwJpacm8p8DqJwpWFm1KZMhMj2oeEKtB,EURO24,spl-token
JCKqVrB4cKRFGKFYTMuYzry8QVCgaxS6g5s3HbczCP5W,BCD75RNBHrJJpW4dXVagL5mPjzRLnVZq4YirJdjEYMV7,SAM,spl-token
8ofoeCXeTh7mmt62uoWXbEPp29URSXwWiNymsyXW3XVo,QeC978QK5CEZWDgvVF7YpXT8q2dJNjzRXtsFcHagekM,Default,spl-token
62qAVEW8Fo8W3HpMpxfsLpGjyuJe8TSHrjueyTw89nYg,BCD75RNBHrJJpW4dXVagL5mPjzRLnVZq4YirJdjEYMV7,BOBO,spl-token
z3dn17yLaGMKffVogeFHQ9zWVcXgqgf3PQnDsNs2g6M,9y1kUCucGkxPKPtCCdYNWCBoj6v7LKfGGXE8Ri4iaNHN,OXY,spl-token
3Qw8Se94rz6zZsiJG6AiAN2vsZhK6NbzWTPYzbGwhY3A,8doHW5yXDdUnGtLU8s1V6gU5CyZQEP9GgGqFNwFzPPKj,sdfvsdfv,spl-token
NPBDFWemarfwpjQhWUxzdobq8GLXyZLwQqXQVbbCikW,HSPQfJtsnwjuYuqS63TFACZzdGErQuEEmgYn8CZk4UpE,,spl-token
G7u2oFKwMFuWTRE24x2LsbEJQzKLq1uR2H92UFC7mJhf,71DBUfQ5v4jzKfc3p5DcmAyPqNCnxdpZ2mUsew7yL42T,,spl-token
EnigWcs9jBQvBFnQaHvwGihpzVEELtGC25yxpKeJ68ZV,57u8m3SoUYbupmPb4YrJjEQqZT7rCdsR4e1NwaCqfhGB,,spl-token
8cVZCdP973kupdt1TktpD4jq3k7Jpr3FiaBAxN5Kpump,12.028043,Trade,
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,AVzP2GeRmqGphJsMxWoqjpUifPpCret7LqWhD8NWQK49,JLP,spl-token
p9984N5sfyittRoAzVyio7w1ppQYSXVd5ELwZHityZq,4kbVV77NpgMqJNCZq2RHXrjnQrkcuDHCPpq24mQEwJ8r,,spl-token
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,3JLPCS1qM2zRw3Dp6V4hZnYHd4toMNPkNesXdX9tg6KM,mSOL,spl-token
3Xp7LuSNrQgGp7sLDoP8KM6i67rmmJiYFYd67pMG8qEF,F7hsboz5ykJdeFFdBrW5z52QTfzhJi9QkEJKJmoD2XJ3,DTWL,spl-token
CgnTSoL3DgY9SFHxcLj6CgCgKKoTBr6tp4CPAEWy25DE,5zycDbpcwkm2kqJLVnCqAMRQRSPtNrNLhcncyyZmWR4z,cgntSOL,spl-token
AqEHVh8J2nXH9saV2ciZyYwPpqWFRfD2ffcq5Z8xxqm5,3PZiqCsv1yZxLjYVbNBgsBLP68q2YPBgheqyNaL3rV2Z,YAKU,spl-token
7QMcbv34DskintUurwz7sHXzyUdvQwra9VvePeYati2T,ArpVQZgy4m2mLTVRRR7H3eGBUfY6wVxm2X3kRu32J3Lw,FROGG,spl-token
BNC5eVJZixJFykygncDuUK5TpRBsWZuT6eSA99YNh2cZ,EnHR9kZbKcFJ9xxWqc4pjZqFvwRHb3TNJtQCbtLvqxAH,NEURAL,spl-token
59McpTVgyGsSu5eQutvcKLFu7wrFe3ZkE2qdAi3HnvBn,BCD75RNBHrJJpW4dXVagL5mPjzRLnVZq4YirJdjEYMV7,CHO,spl-token
CNL2opdqaQDY7yudm5V4MAaTwuuY32LTKqNP93jZM8X6,BCD75RNBHrJJpW4dXVagL5mPjzRLnVZq4YirJdjEYMV7,HARAMBE,spl-token
GgPiU1ewrFzQsiwTuB3bd29aCAAbGjxh6kRPhDTTTbEf,GS5ikjcsFbYih4YF5UbGFXqJxepHc9uHjZrm25aB9EFQ,DRONK,spl-token
652jiMqifkMnzefHGNDJ7EcCY9DR71daNevZXNZyxBmm,2mdipA7QPv4sf7KzTiTD73ShoZsjBHCmyGQ1weY9VQZ5,TFMP,spl-token
J5pHHfaBu5wZ43zR1F8hBPwJ7eudoPVTX9DreGA2MNyA,FNm3KiU2vnf95b85Z8v1aA1eFVC54mf8c2tFCPnr7A7H,$TRUMP,spl-token
BsDrXiQaFd147Fxq1fQYbJQ77P6tmPkRJQJzkKvspDKo,3rRmmLfXJ1uUWDnGPkMYLr7k25EqypHb9tKA2D3rmYic,SOLA,spl-token
9b6si5Mntof8UNFXCd6tEqavFGYuPgXAfAAt4taTGQWp,ASmvio932T6mMSXXpXTJZkgarCE7WMZcXYwX6XzDYGFo,SIMULATION,spl-token
